Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,FindACopy,Database
China Quietly Accesses Banned Nvidia Chips,3096788384,Newspapers,"Huang, Raffaele", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 26, 2024",0099-9660, English, English," New York, N.Y.","Aug 26, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/china-quietly-accesses-banned-nvidia-chips/docview/3096788384/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=China+Quietly+Accesses+Banned+Nvidia+Chips&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=China+Quietly+Accesses+Banned+Nvidia+Chips&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Huang,ABI/INFORM Collection
"Nvidia, Chips Send Stocks Higher --- Meanwhile, Biden's election exit left little consensus among investors",3083354839,Newspapers,"Goldfarb, Sam", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jul 23, 2024",0099-9660, English, English," New York, N.Y.","Jul 23, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-chips-send-stocks-higher-meanwhile-bidens/docview/3083354839/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia%2C+Chips+Send+Stocks+Higher+---+Meanwhile%2C+Biden%27s+election+exit+left+little+consensus+among+investors&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia%2C+Chips+Send+Stocks+Higher+---+Meanwhile%2C+Biden%27s+election+exit+left+little+consensus+among+investors&amp;spage=B.11&amp;sid=ProQ%3Aabiglobal&amp;author=Goldfarb,ABI/INFORM Collection
Underground Network Funnels Banned Nvidia Chips to China,3074897571,Newspapers,"Huang, Raffaele", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jul 3, 2024",0099-9660, English, English," New York, N.Y.","Jul 3, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/underground-network-funnels-banned-nvidia-chips/docview/3074897571/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Underground+Network+Funnels+Banned+Nvidia+Chips+to+China&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Underground+Network+Funnels+Banned+Nvidia+Chips+to+China&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Huang,ABI/INFORM Collection
Nvidia Made Its Mark on Quarter --- Enthusiasm for the stock grew while the S&P saw large performance gap,3073781572,Newspapers,"Grant, Charley", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jul 1, 2024",0099-9660, English, English," New York, N.Y.","Jul 1, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-made-mark-on-quarter-enthusiasm-stock-grew/docview/3073781572/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Made+Its+Mark+on+Quarter+---+Enthusiasm+for+the+stock+grew+while+the+S%26amp%3BP+saw+large+performance+gap&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Made+Its+Mark+on+Quarter+---+Enthusiasm+for+the+stock+grew+while+the+S%26amp%3BP+saw+large+performance+gap&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Grant,ABI/INFORM Collection
"Nvidia Rebound Drives Up Nasdaq, S&P, but Dow Falls --- Chip maker climbs 6.8% after losing $430 billion in market cap in days",3072116506,Newspapers,"Banerji, Gunjan", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 26, 2024",0099-9660, English, English," New York, N.Y.","Jun 26, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-rebound-drives-up-nasdaq-s-amp-p-dow-falls/docview/3072116506/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Rebound+Drives+Up+Nasdaq%2C+S%26amp%3BP%2C+but+Dow+Falls+---+Chip+maker+climbs+6.8%25+after+losing+%24430+billion+in+market+cap+in+days&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Rebound+Drives+Up+Nasdaq%2C+S%26amp%3BP%2C+but+Dow+Falls+---+Chip+maker+climbs+6.8%25+after+losing+%24430+billion+in+market+cap+in+days&amp;spage=B.12&amp;sid=ProQ%3Aabiglobal&amp;author=Banerji,ABI/INFORM Collection
"Nvidia Pulls S&P 500, Nasdaq Lower --- Stocks end broadly higher outside of technology sector, as Dow gains 0.7%",3071673117,Newspapers,"Goldfarb, Sam", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 25, 2024",0099-9660, English, English," New York, N.Y.","Jun 25, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-pulls-s-amp-p-500-nasdaq-lower-stocks-end/docview/3071673117/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Pulls+S%26amp%3BP+500%2C+Nasdaq+Lower+---+Stocks+end+broadly+higher+outside+of+technology+sector%2C+as+Dow+gains+0.7%25&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Pulls+S%26amp%3BP+500%2C+Nasdaq+Lower+---+Stocks+end+broadly+higher+outside+of+technology+sector%2C+as+Dow+gains+0.7%25&amp;spage=B.11&amp;sid=ProQ%3Aabiglobal&amp;author=Goldfarb,ABI/INFORM Collection
"EXCHANGE --- The Score / The Business Week in 6 Stocks: Gilead's Breakthrough, Nvidia's Milestone",3070945527,Newspapers,"Fontana, Francesca"," Adidas AG , CarMax Inc , NVidia Corp , Apple Inc"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 22, 2024",0099-9660, English, English," New York, N.Y.","Jun 22, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-score-business-week-6-stocks-gileads/docview/3070945527/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+The+Score+%2F+The+Business+Week+in+6+Stocks%3A+Gilead%27s+Breakthrough%2C+Nvidia%27s+Milestone&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+The+Score+%2F+The+Business+Week+in+6+Stocks%3A+Gilead%27s+Breakthrough%2C+Nvidia%27s+Milestone&amp;spage=B.2&amp;sid=ProQ%3Aabiglobal&amp;author=Fontana,ABI/INFORM Collection
"EXCHANGE --- SoftBank's Founder Bemoans Early Exit From Nvidia, Missing $150 Billion Gain",3070945515,Newspapers,"Fujikawa, Megumi"," OpenAI , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 22, 2024",0099-9660, English, English," New York, N.Y.","Jun 22, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-softbanks-founder-bemoans-early-exit/docview/3070945515/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+SoftBank%27s+Founder+Bemoans+Early+Exit+From+Nvidia%2C+Missing+%24150+Billion+Gain&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+SoftBank%27s+Founder+Bemoans+Early+Exit+From+Nvidia%2C+Missing+%24150+Billion+Gain&amp;spage=B.9&amp;sid=ProQ%3Aabiglobal&amp;author=Fujikawa,ABI/INFORM Collection
Global Stocks Mixed After Nvidia Spurs U.S. Records,3069750810,Newspapers,"Dulaney, Chelsey", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 20, 2024",0099-9660, English, English," New York, N.Y.","Jun 20, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/global-stocks-mixed-after-nvidia-spurs-u-s/docview/3069750810/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Global+Stocks+Mixed+After+Nvidia+Spurs+U.S.+Records&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Global+Stocks+Mixed+After+Nvidia+Spurs+U.S.+Records&amp;spage=B.10&amp;sid=ProQ%3Aabiglobal&amp;author=Dulaney,ABI/INFORM Collection
"Nvidia Becomes Biggest Company In World --- Market cap swells to top Microsoft's, echoing Cisco's rise in the dot-com boom",3069750804,Newspapers,"Fitch, Asa", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 20, 2024",0099-9660, English, English," New York, N.Y.","Jun 20, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-becomes-biggest-company-world-market-cap/docview/3069750804/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Becomes+Biggest+Company+In+World+---+Market+cap+swells+to+top+Microsoft%27s%2C+echoing+Cisco%27s+rise+in+the+dot-com+boom&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Becomes+Biggest+Company+In+World+---+Market+cap+swells+to+top+Microsoft%27s%2C+echoing+Cisco%27s+rise+in+the+dot-com+boom&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Nvidia Gets Lift From Nations' AI Efforts,3065823622,Newspapers,"Fitch, Asa;Schechner, Sam", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 10, 2024",0099-9660, English, English," New York, N.Y.","Jun 10, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-gets-lift-nations-ai-efforts/docview/3065823622/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Gets+Lift+From+Nations%27+AI+Efforts&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Gets+Lift+From+Nations%27+AI+Efforts&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
"EXCHANGE --- The Score / The Business Week in 6 Stocks: Nvidia Keeps Soaring, Dollar Tree Sinks",3065535103,Newspapers,"Fontana, Francesca"," Dollar Tree Inc , GameStop Corp , Spotify AB , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 8, 2024",0099-9660, English, English," New York, N.Y.","Jun 8, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-score-business-week-6-stocks-nvidia/docview/3065535103/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+The+Score+%2F+The+Business+Week+in+6+Stocks%3A+Nvidia+Keeps+Soaring%2C+Dollar+Tree+Sinks&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+The+Score+%2F+The+Business+Week+in+6+Stocks%3A+Nvidia+Keeps+Soaring%2C+Dollar+Tree+Sinks&amp;spage=B.2&amp;sid=ProQ%3Aabiglobal&amp;author=Fontana,ABI/INFORM Collection
EXCHANGE --- Nvidia's Shares Will Be More Affordable After Friday's Close With a 10-for-1 Split,3065535089,Newspapers,"Fitch, Asa", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 8, 2024",0099-9660, English, English," New York, N.Y.","Jun 8, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-nvidias-shares-will-be-more-affordable/docview/3065535089/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+Nvidia%27s+Shares+Will+Be+More+Affordable+After+Friday%27s+Close+With+a+10-for-1+Split&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+Nvidia%27s+Shares+Will+Be+More+Affordable+After+Friday%27s+Close+With+a+10-for-1+Split&amp;spage=B.9&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Tech-Stock Pullback Weighs on S&P 500 --- Declines in Nvidia and Apple were offset in part by gains in other areas,3065166848,Newspapers,"Langley, Karen"," J M Smucker Co , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 7, 2024",0099-9660, English, English," New York, N.Y.","Jun 7, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/tech-stock-pullback-weighs-on-s-amp-p-500/docview/3065166848/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Tech-Stock+Pullback+Weighs+on+S%26amp%3BP+500+---+Declines+in+Nvidia+and+Apple+were+offset+in+part+by+gains+in+other+areas&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Tech-Stock+Pullback+Weighs+on+S%26amp%3BP+500+---+Declines+in+Nvidia+and+Apple+were+offset+in+part+by+gains+in+other+areas&amp;spage=B.9&amp;sid=ProQ%3Aabiglobal&amp;author=Langley,ABI/INFORM Collection
"Nvidia Market Cap Tops $3 Trillion, Surpasses Apple",3064823246,Newspapers,"Fitch, Asa;Langley, Karen", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 6, 2024",0099-9660, English, English," New York, N.Y.","Jun 6, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-market-cap-tops-3-trillion-surpasses-apple/docview/3064823246/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Market+Cap+Tops+%243+Trillion%2C+Surpasses+Apple&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Market+Cap+Tops+%243+Trillion%2C+Surpasses+Apple&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Musk Confirms Diverting Nvidia Chips From Tesla,3064823217,Newspapers,"Kao, Kimberley", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Jun 6, 2024",0099-9660, English, English," New York, N.Y.","Jun 6, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/musk-confirms-diverting-nvidia-chips-tesla/docview/3064823217/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Musk+Confirms+Diverting+Nvidia+Chips+From+Tesla&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Musk+Confirms+Diverting+Nvidia+Chips+From+Tesla&amp;spage=B.4&amp;sid=ProQ%3Aabiglobal&amp;author=Kao,ABI/INFORM Collection
Nasdaq Climbs on Rally in Nvidia --- Increase in yields on Treasury bonds weighs on broader stock market,3060964417,Newspapers,"Goldfarb, Sam", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," May 29, 2024",0099-9660, English, English," New York, N.Y.","May 29, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nasdaq-climbs-on-rally-nvidia-increase-yields/docview/3060964417/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nasdaq+Climbs+on+Rally+in+Nvidia+---+Increase+in+yields+on+Treasury+bonds+weighs+on+broader+stock+market&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nasdaq+Climbs+on+Rally+in+Nvidia+---+Increase+in+yields+on+Treasury+bonds+weighs+on+broader+stock+market&amp;spage=B.11&amp;sid=ProQ%3Aabiglobal&amp;author=Goldfarb,ABI/INFORM Collection
"EXCHANGE --- The Score / The Business Week in 7 Stocks: Retailers' Sales Slow, a New Record for Nvidia",3059712009,Newspapers,"Fontana, Francesca"," Macys Inc , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," May 25, 2024",0099-9660, English, English," New York, N.Y.","May 25, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-score-business-week-7-stocks-retailers/docview/3059712009/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+The+Score+%2F+The+Business+Week+in+7+Stocks%3A+Retailers%27+Sales+Slow%2C+a+New+Record+for+Nvidia&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+The+Score+%2F+The+Business+Week+in+7+Stocks%3A+Retailers%27+Sales+Slow%2C+a+New+Record+for+Nvidia&amp;spage=B.2&amp;sid=ProQ%3Aabiglobal&amp;author=Fontana,ABI/INFORM Collection
"Nvidia Surge Faces Test From Rivals, Market",3059167184,Newspapers,"Fitch, Asa"," Broadcom Inc , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," May 24, 2024",0099-9660, English, English," New York, N.Y.","May 24, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-surge-faces-test-rivals-market/docview/3059167184/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Surge+Faces+Test+From+Rivals%2C+Market&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Surge+Faces+Test+From+Rivals%2C+Market&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Stocks Drop Despite Nvidia's Big Rally --- Dow Jones industrials fall 600 points in worst day since March 2023,3059167149,Newspapers,"Miao, Hannah", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," May 24, 2024",0099-9660, English, English," New York, N.Y.","May 24, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/stocks-drop-despite-nvidias-big-rally-dow-jones/docview/3059167149/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Stocks+Drop+Despite+Nvidia%27s+Big+Rally+---+Dow+Jones+industrials+fall+600+points+in+worst+day+since+March+2023&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Stocks+Drop+Despite+Nvidia%27s+Big+Rally+---+Dow+Jones+industrials+fall+600+points+in+worst+day+since+March+2023&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Miao,ABI/INFORM Collection
Nvidia's Sales Triple on AI Boom's Stamina --- Hot chip market spurs soaring results and better-than- expected forecast,3058478736,Newspapers,"Fitch, Asa"," OpenAI , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," May 23, 2024",0099-9660, English, English," New York, N.Y.","May 23, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidias-sales-triple-on-ai-booms-stamina-hot-chip/docview/3058478736/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia%27s+Sales+Triple+on+AI+Boom%27s+Stamina+---+Hot+chip+market+spurs+soaring+results+and+better-than-+expected+forecast&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia%27s+Sales+Triple+on+AI+Boom%27s+Stamina+---+Hot+chip+market+spurs+soaring+results+and+better-than-+expected+forecast&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
EXCHANGE --- Science of Success: The 84-Year-Old Man Who Saved Nvidia --- It's a $2 trillion company today. It wouldn't exist without Irimajiri-san.,3056113393,Newspapers,"Cohen, Ben", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," May 18, 2024",0099-9660, English, English," New York, N.Y.","May 18, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-science-success-84-year-old-man-who/docview/3056113393/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+Science+of+Success%3A+The+84-Year-Old+Man+Who+Saved+Nvidia+---+It%27s+a+%242+trillion+company+today.+It+wouldn%27t+exist+without+Irimajiri-san.&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+Science+of+Success%3A+The+84-Year-Old+Man+Who+Saved+Nvidia+---+It%27s+a+%242+trillion+company+today.+It+wouldn%27t+exist+without+Irimajiri-san.&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Cohen,ABI/INFORM Collection
AI Cloud Startup Raises $1 Billion --- Nvidia-backed CoreWeave nearly triples its valuation in a few months,3049593114,Newspapers,"Fitch, Asa"," NVidia Corp , CoreWeave"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," May 2, 2024",0099-9660, English, English," New York, N.Y.","May 2, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/ai-cloud-startup-raises-1-billion-nvidia-backed/docview/3049593114/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=AI+Cloud+Startup+Raises+%241+Billion+---+Nvidia-backed+CoreWeave+nearly+triples+its+valuation+in+a+few+months&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=AI+Cloud+Startup+Raises+%241+Billion+---+Nvidia-backed+CoreWeave+nearly+triples+its+valuation+in+a+few+months&amp;spage=B.4&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Nvidia's Biggest Manufacturer Doubles Down on Chips for AI,3041087527,Newspapers,"Yang, Jie", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Apr 19, 2024",0099-9660, English, English," New York, N.Y.","Apr 19, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidias-biggest-manufacturer-doubles-down-on/docview/3041087527/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia%27s+Biggest+Manufacturer+Doubles+Down+on+Chips+for+AI&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia%27s+Biggest+Manufacturer+Doubles+Down+on+Chips+for+AI&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Yang,ABI/INFORM Collection
Nvidia Partner Bets Big on Midwest,3031531472,Newspapers,"Sohn, Jiyoung;Keilman, John"," SK Hynix Inc , Purdue Research Foundation , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Apr 4, 2024",0099-9660, English, English," New York, N.Y.","Apr 4, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-partner-bets-big-on-midwest/docview/3031531472/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Partner+Bets+Big+on+Midwest&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Partner+Bets+Big+on+Midwest&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Sohn,ABI/INFORM Collection
Nvidia To Price AI Chips For Wide User Base,2968734870,Newspapers,"Fitch, Asa"," NVidia Corp , Berkshire Hathaway Inc"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Mar 20, 2024",0099-9660, English, English," New York, N.Y.","Mar 20, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-price-ai-chips-wide-user-base/docview/2968734870/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+To+Price+AI+Chips+For+Wide+User+Base&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+To+Price+AI+Chips+For+Wide+User+Base&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
"Nontech Firms Like It in Nvidia's Orbit --- Executives in finance, energy, other fields tell of benefits from ties to the company",2968734853,Newspapers,"Bousquette, Isabelle"," Wells Fargo & Co , Jaguar Land Rover Automotive PLC , Capital One Financial Corp , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Mar 20, 2024",0099-9660, English, English," New York, N.Y.","Mar 20, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nontech-firms-like-nvidias-orbit-executives/docview/2968734853/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nontech+Firms+Like+It+in+Nvidia%27s+Orbit+---+Executives+in+finance%2C+energy%2C+other+fields+tell+of+benefits+from+ties+to+the+company&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nontech+Firms+Like+It+in+Nvidia%27s+Orbit+---+Executives+in+finance%2C+energy%2C+other+fields+tell+of+benefits+from+ties+to+the+company&amp;spage=B.4&amp;sid=ProQ%3Aabiglobal&amp;author=Bousquette,ABI/INFORM Collection
